ID ,Nme in English,Name in Amharic,Position,Place of Assignment,Detail,,
1079,Kumera Waqjira Gemeda,?? ??? ???? ???,?? ?????? ,?????? ??? ????? ???? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1080,Solomon Mekonnen Bula,?? ???? ???? ??,???? ?? ?????? ,?????? ??? ????? ???? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1081,Dr. Ephrem Telike Lemango,?/? ???? ??? ???? ,????? ,??? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1082,Dr. Yinager Dessie Belay,?/? ???? ?? ???,??,?????? ???? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1083,Yemane Yossef Tesfaye,?? ??? ??? ????,???? ??,?????? ???? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1084,Tiruneh Mitafa Gouta,?? ???? ??? ??,???? ??,?????? ???? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1085,Lensa Mekonnen,?/? ??? ???? ,?? ?????? ,???? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1086,Sertse Firesibhat,?? ??? ?????? ,???? ?? ?????? ,???? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1087,Dr. Hagos Abrha,?/? ??? ???? ,???? ?? ?????? ,???? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1088,Worknesh Biru,???? ?/? ????? ?? ,?? ?????? ,??????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1089,Endeshaw Tassew W Giyorgis,?? ????? ??? ?/?????,????? ????,????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1090,Melaku Fenta Balcha,?? ??? ??? ???,???? ?????? ????,????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1091,Yihdego Seyum W/Mariyam,?? ???? ??? ?/????,???? ?????? ????,????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1092,Tekola Ayfokiru Yemiru,?? ??? ????? ???,???? ?????? ????,????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1093,Kenea Yadeta Eirena,?? ??? ??? ??? ,????? ????,????? ??? ?????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1094,Mulugeta Worku,?? ???? ??? ,???? ????? ????,????? ??? ?????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1095,Mitiku Kassa,??? ?? ??? ?? (???????),?????,????? ??? ??? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1096,Damena Darota,?? ??? ???(??????? ,?/????? ,????? ??? ??? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1097,Tadelech Dalecho Danjo,???? ??? (????????),-,????? ??? ??? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1098,Desalegne G/Yohannes,?? ???? ?/???? (???????),-,????? ??? ??? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1099,Efrah Ali Moussa,?/? ???? ?? ??,?? ?????? ,???????? ??? ????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1100,Teferi Fikrie Gossaye,?? ??? ???,???? ?? ?????? ,???????? ??? ????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1101,Dr.Abrham Belay,?/? ????? ???,???? ?? ?????? ,???????? ??? ????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1102,Worku Gachena Negera,?? ??? ??? ???,???? ?? ?????? ,???????? ??? ????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1103,Kidanemariyam Gebretsadiq Hadera,?? ??????? ?????? ???,?? ?????? ,?????? ????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1104,Birhane Woldekiros,?? ???? ?????? ,???? ?? ?????? ,?????? ????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1105,Esayas W/Giyorgis,?? ???? ?/????? ,?? ?????? ,??????? ????? ???? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1106,Tamiru Ginbeto,?? ??? ???? ,???? ?? ?????? ,??????? ????? ???? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1107,General Adem Mehammed,???? ??? ????,?? ?????? ,????? ???? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1108,Commisioner Demelash -/Michael,????? ???? /???? ,???? ?? ?????? ,????? ???? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1109,Kebede Chanie,?? ??? ?? ,?? ?????? ,?????? ?? ???? ????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1110,Nega Berhe,?? ?? ??? ,???? ?? ?????? ,?????? ?? ???? ????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1111,Adissu Kebienesa,?? ??? ????,???? ??????,?????? ?? ???? ????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1112,Ambassador Arega Hailu,?????? ??? ??? ,???? ?? ?????? ,??? ????? ?????? ????? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1113,Selamawit Dawit,?/? ????? ??? ,?? ?????? ,?????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1114,Getahun Nana Jenber,?? ???? ?? ????,?????? ??? ???,??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1115,Mehammed Endris,?? ???? ????? ,???? ?? ?????? ,?????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1116,Marta Lewoji Anteneh,?/? ??? ??? ?????,?? ?????? ,?????? ??? ???? ?????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1117,Jonse Degefa Letta,?? ??? ??? ??,???? ?? ?????? ,?????? ??? ???? ?????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1118,Yeyigezu Daba,?? ???? ??,?? ?????? ,?????? ??? ???? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1119,Tesfaye Birhanu,?? ???? ???? ,???? ?? ?????? ,?????? ??? ???? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1120,Solomon Ayinimar,?? ???? ??????,???? ?? ?????? ,?????? ??? ???? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1121,Gashe Yemane,?? ?? ???? ,?? ?????? ,?????? ??? ????? ??? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1122,Beyene G/Mesqel Mada,?? ??? ?/???? ??,?? ?????? ,?????? ???? ????? ???? ?????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1123,Habtamu H/Michael,?? ???? ?/???? ,?/?? ?????? ,?????? ???? ????? ???? ?????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1124,Ahmed Hamza,?/???? ???? ???,?? ?????? ,??????? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1125,Tigabu Fetle,?/???? ??? ???,?/?? ?????? ,??????? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1126,General Tena Kirundie,???? ?? ???? ,?/?? ?????? ,??????? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1127,Abdulaziz Ahmed,?? ?????? ???? ,?/?? ?????? ,??????? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1128,B/General Ahmed Hamza,?????  ???? ???? ??? ,?/?? ?????? ,??????? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1129,L/Colonel Shegaw Mulugeta,?/???? ??? ???? ,?/?? ?????? ,??????? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1130,B/General Hadgu G/Giyorgis,?????  ???? ??? ?/????? ,?/?? ?????? ,??????? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1131,Awol Ali,?? ??? ?? ,?/?? ?????? ,??????? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1132,Ermias Yemanebirhan,?? ????? ??????? ,?? ?????? ,?????? ??????? ???? ?/?? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1133,Endalu Mosisa Waqtola,?? ???? ??? ????,?/?? ?????? ,?????? ??????? ???? ?/?? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1134,Jimma Dulbo Denbel,?? ?? ??? ????,?? ?????? ,??? ????? ????? ?? ????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1135,Fasikaw Molla,?? ???? ?? ,???? ?? ?????? ,??? ????? ????? ?? ????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1136,Mersa G/Yohannes Asfa Wossen,?? ??? ??????? ,?? ?????? ,????? ????? ?????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1137,Muluken Amare Adinew,?? ???? ??? ????,???? ???? ?/?? ?????? ,????? ????? ?????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1138,Ashimawi Seyifu,?? ???? ???,?????? ???? ?? ??????,????? ????? ?????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1139,Abrham Nigussie,?? ????? ??? ,???? ?? ?????? ,????? ????? ?????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1140,Hamid Kiniso Dido,?? ??? ???,???? ?? ?????? ,????? ????? ?????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1141,Jemal Abasso,?? ??? ??? ,?? ?????? ,????? ????? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1142,Yaregal Ademe,??? ?????? ???? ???,???? ?? ?????? ? ??????? ??? ??? ??? ??? ??? ,????? ????? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1143,Commander Wondimu Chama,????? ???? ?? ,???? ?? ?????? ? ?????? ???? ??? ??? ,????? ????? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1144,Commander Desta Asmelash,????? ??? ????? ,???? ?? ?????? ? ????? ??? ??? ???,????? ????? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1145,Ambassador Degife Bula,?? ???. ??? ?? ,?????? ???? ?? ??????,????? ??? ???? ?? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1146,Mitiku Mada Dilnesaw,?? ??? ?? ?????,??/? ???  ???? ????? ????? ???? ???? ??? ?/?? ?????? ,????? ??? ???? ?? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1147,Tesfalem Yihdego G/Kidanb,?? ????? ???? ?/???,?????? ??? ???? ???? ???? ????? ???? ???? ??? ?/?? ?????? ,????? ??? ???? ?? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1148,Mesfin Abebe Bediy,?? ???? ??? ???,?????? ??? ???? ??? ?????? ???? ???? ???? ??? ?/?? ?????? ,????? ??? ???? ?? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1149,Zekariyas Erkola Yimam,?? ????? ???? ,??? ???? ???? ??????? ????? ??? ,????? ??? ???? ?? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1150,Mulugeta Ayalew,?? ???? ????,?????? ,????? ??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1151,Serkalem Eniyew,?/?? ????? ????,??,????? ??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1152,Zinabu Tadesse,?? ??? ???,??,????? ??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1153,Yossef Alemu,?? ??? ???,??,????? ??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1154,Belay Wadisha,?? ??? ???,??,????? ??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1155,Dr. Terzu Daya,?/? ??? ?? ,?? ?????? ,?????? ?????? ??? ??????? ???? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1156,Ousman Surur Siraj,?? ???? ??? ??? ,?? ?????? ,????? ???? ?? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1157,Abdi Mehammed,?? ??? ???,???? ?? ?????? ,????? ???? ?? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1158,Mandefro Nigussie,?/? ????? ??? ,?? ?????? ,?????? ???? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1159,Dr. Diriba Geleti,??/??? ??? ,?/?? ?????? ,?????? ???? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1160,Dr. Chilot Yirga,?/? ??? ??? ,???????? ??? ???? ?/?? ?????? ,?????? ???? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1161,Kalhid Bomba,?? ??? ??? ,?? ?????? ,?????? ????????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1162,Dr. Dagnachew Beyene,?/? ???? ??? ,?? ?????? ,????? ??? ???? ???? ??? ??????? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1163,Dr. Adugna Debela,?/? ??? ??? ,?? ?????? ,?????? ??? ?? ???? ???? ?? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1164,Shafi Oumer Aga,?? ?? ??? ?? ,????? ???? ??? ???? ?? ?????? ,?????? ??? ?? ???? ???? ?? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1165,Awugichew Teshome Kifle,?? ????? ??? ???,???? ??? ???? ?? ?????? ,?????? ??? ?? ???? ???? ?? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1166,Dr. Mekuriya Tadesse,?/? ???? ??? ,?? ?????? ,????? ???? ????? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1167,Dr. Mesfin Sehalie Forsa,?/? ???? ??? ???,?? ?????? ,????? ????? ?? ????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1168,Dr. Esayas Tessema,?/? ???? ??? ,?? ?????? ,????? ?? ??? ????? ???? ?? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1169,Manyazewal Endeshaw Guwangul,?? ?????? ?????? ????,?? ?????? ,?????? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1170,Bereket Smeon W/Gerima,?? ???? ???? ?/???,?????? ???? ??????? ??? ???,????? ???? ???? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1171,Dr. Marta Yami,?/? ??? ?? ,?? ?????? ,????? ?????? ?? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1172,Sileshi Lemma Bekele,?? ??? ?? ???,?? ?????? ,?????? ?????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1173,Yared Mesfin Tefera,?? ??? ???? ???,????? ??? ???? ?? ?????? ,?????? ?????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1174,Nigussie Godana Midikso,?? ??? ??? ????,??????? ??? ??? ???? ?? ?????? ,?????? ?????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1175,Messele Mekuria Bekele,?? ??? ???? ???,??? ??? ??? ???? ?? ?????? ,?????? ?????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1176,Bogale Feleke Temesgen,?? ??? ??? ?????,?? ?????? ,??? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1177,Hailekiros Debesey Melkamu,?? ?????? ????,???? ?? ??? ???? ?? ?????? ,??? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1178,Muhammed Hussien,?? ???? ??? ,??? ????? ??? ???? ?? ?????? ,??? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1179,Workneh Delelegne,?? ????? ????,?? ?????? ,??????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1180,Fekadu Haile,?? ??? ??? ,????? ??? ??? ???? ?? ?????? ,??????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1181,Ato Kahse G/Medhin,?? ??? ?/??? ,???? ?? ?????? ,??????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1182,Endalew Mekonnen,?? ????? ????,?? ?????? ,?????? ?????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1183,Bonsa Bayisa,?? ??? ??? ,???? ?? ?????? ,?????? ?????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1184,Araya Fisha Gezahigne,?? ???? ??? ????,?? ?????? ,?????? ???? ??????? ?/?? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1185,Getinet Tsigemeleak G/Yohannes,?? ???? ?????? ?/???,???? ?? ?????? ,?????? ???? ??????? ?/?? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1186,Samuel Halala Kejela,?? ???? ???,?? ?????? ,????? ???????? ????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1187,Deyesa Leta Merga,?? ??? ?? ???,???? ?? ?????? ,????? ???????? ????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1188,Simret Girma,?/? ???? ??? ,???? ?? ?????? ,????? ???????? ????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1189,Hadushom Teoum Araya,?? ???? ??? ,????? ?? ?????????? ???? ??? ???? ?? ?????? ,????? ???????? ????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1190,Hailesilassie Wores,?? ?????? ???,?? ?????? ,?????? ??? ??? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1191,Dr. Tekeba Eshetu,?/? ??? ???,?? ?????? ,?????? ??? ??? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1192,Tadesse Gouta,?? ??? ??,???? ?? ?????? ,?????? ??? ??? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1193,Solomon Tadesse,?? ???? ??? ,?? ?????? ,????? ??? ???????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1194,Mesay W/Mariyam,?? ??? ?/????,?/?? ?????? ,????? ??? ???????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1195,Belaynesh Kumsa,?/? ????? ???,?????????? ????? ??? ?/ ?? ??????  ,????? ??? ???????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1196,Bekele Mekuriya,?? ??? ????,????? ??? ??? ?/?? ?????? ,????? ??? ???????? ?????? ??? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1197,Enginner Olero Opiyo Oujillu,????? ??? ???? ??? ,?? ?????? ,???? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1198,Wondimagene Negera,?? ?????? ??? ,?? ?????? ,??? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1199,Asfaw Abebe Ershaw,?? ???? ??? ????,?? ?????? ,????? ?????? ????? ???????? ???????? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1200,Kelifah Hussien Nesro,?? ??? ??? ???,???? ?? ?????? ,????? ?????? ????? ???????? ???????? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1201,Hadush Halefom,?? ??? ???? ,???? ?? ?????? ,????? ?????? ????? ???????? ???????? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1202,Daniel Olani Mekonnen,?? ???? ??? ????,???? ?? ?????? ,????? ?????? ????? ???????? ???????? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1203,Dr. Abdu Abagibe,?/? ??? ????,?? ?????? ,????? ??-?? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1204,Mulugeta Deribew,?? ???? ????,???? ?? ?????? ,????? ??-?? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1205,Michael Teklu,?? ???? ???,?? ?????? ,???? ????? ???? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1206,Girma Alemar,?? ??? ???? ,????? ??? ???? ?? ?????? ,???? ????? ???? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1207,Meselech Wodajo,?/? ???? ??? ,???? ?? ?????? ,???? ????? ???? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1208,Teshale Belihu,?? ??? ??? ,?? ?????? ,?????? ?????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1209,Gashaw Tesfaye,?? ??? ???? ,???? ?? ?????? ,?????? ?????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1210,Dr. Hulu Basha,?/? ?? ??,?? ?????? ,??????? ??????? ???????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1211,Solomon Getachew,?? ???? ????,?? ?????? ,?????? ??? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1212,Dr. Kassahun Tesfaye Geletu,?/? ???? ???? ???,?? ?????? ,???????? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1213,Dr. Hailu Dadi Melka,?/? ??? ?? ???,???? ?? ?????? ,???????? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1214,Tewodros Bekele Gerbi,?? ????? ??? ???,???? ?? ?????? ,???????? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1215,Dr. Solomon Belay,?/? ???? ??? ,?? ?????? ,?????? ??? ????? ????? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1216,Atakilti Gidey Abrha,?? ????? ??? ????,????? ???????? ?????? ????,?/?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1217,Yohannes Bekele Gezahigne,?? ???? ??? ????,???? ??????? ??????,?/?? ???????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1218,Abdisa Yilma,?? ???? ??? ,???? ?? ?????? ,?????? ??? ????? ????? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1219,Sandokan Debebe,?? ????? ??? ,?? ?????? ,??????? ????? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1220,Teshome Sehalemariyam,?? ??? ??????? ,???? ?? ?????? ,??????? ????? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1221,Muluken Kere,?? ???? ??,???? ?? ?????? ,??????? ????? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1222,Abdisa Yadeta,?? ???? ???,?? ?????? ,???????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1223,Dereje W/Yohannes Abdi,?? ??? ?/???? ???,????? ???? ????? ??? ???? ?? ?????? ,???????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1224,Almaz Beyero Hirbaye,?/? ???? ??? ????,???????? ??? ???? ?? ?????? ,???????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1225,Yohannes Bekele,?? ???? ??? ,?????? ???? ??? ???? ?? ?????? ,???????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1226,Reshid Mehamed,?? ??? ???? ,?? ?????? ,????? ??? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1227,Yishak Abera Reda,?? ???? ??? ??,?? ?????? ,???? ??? ?????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1228,Shimelis Tamirat Debebe,?? ???? ????  ???,???? ?? ??????,???? ??? ?????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1229,Cononel Wosenyeleh Hunegnaw Tadeg,???? ?????? ??? ????,?? ?????? ,??? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1230,Zewudu Tekalay Aregawi,?? ??? ???? ????,???? ?? ??????,??? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
